Name_Category,ESM356_H_1_1,ESM356_H_1_2,ESM356_H_2_1,ESM356_H_2_2,ESM356_H_3_1,ESM356_H_3_2,ESM356_D_1_1,ESM356_D_1_2,ESM356_D_2_1,ESM356_D_2_2,ESM356_D_3_1,ESM356_D_3_2,CDC48_H_1_1,CDC48_H_1_2,CDC48_H_2_1,CDC48_H_2_2,CDC48_H_3_1,CDC48_H_3_2,CDC48_D_1_1,CDC48_D_1_2,CDC48_D_2_1,CDC48_D_2_2,CDC48_D_3_1,CDC48_D_3_2
YCL011C,5036.585,6315.362,4926.493,6747.091,5310.7744,6770.4224,5818.4893,6631.271,5021.558,5932.6597,4778.813,5850.288,8212.463,10054.15,9012.712,7921.5234,8740.446,7611.77,6347.1177,7612.8306,7149.0635,7961.885,7542.422,8572.194
YGR241C,2065.9404,2510.6118,2035.435,2374.709,1976.4895,2349.3418,2416.6265,2340.7808,1651.2661,2225.5195,1618.9944,2188.9204,2829.4575,3716.981,2949.3877,3290.8062,3024.7234,3101.0715,1953.8503,2196.2104,2007.2306,2348.7434,2146.1855,2615.8447
YKL216W,17758.424,25213.645,17983.12,20926.66,16960.438,23640.547,17039.752,19151.83,18413.123,18953.352,16943.002,22403.578,20203.31,30841.129,21471.258,31220.305,21121.01,30918.09,14010.1875,20385.35,15081.475,23167.742,15083.151,25857.867
YAL043C,3376.671,4321.272,3453.1724,4313.3594,2579.0183,4491.735,3148.6294,3645.0288,2980.5454,3800.88,3183.3628,3597.484,4590.968,6122.621,4243.121,6128.3955,4688.0415,5628.456,3550.9414,4321.9414,3546.3008,4271.5366,3597.8838,4575.4644
YDR385W,319284.75,387715.6,315266.4,366075.25,297964.72,393714.1,324935.44,280578.16,327996.6,395565.06,305403.2,386182.94,407902.88,520088.44,387096.5,491222.4,373083.7,464140.62,340806.2,428671.84,344780.78,489670.06,359565.7,476835
YDL072C,16190.191,24286.72,19608.703,23223.725,18939.648,25840.348,18281.32,22941.71,19244.338,24332.84,19681.52,28106.545,24638.574,32241.227,23001.871,32479.75,19996.68,31611.473,23079.676,28379.004,24101.496,30711.188,22845.076,27779.129
YAR002C-A,24889.273,25269.398,24591.125,23741.078,24006.068,23796.322,25468.66,26304.855,26181.434,26555.29,23499.473,24506.354,35124.027,40530.21,29971.578,36590.703,33118.043,36277.336,27099.28,38203.582,26934.434,30774.988,27479.94,43734.566
YJL026W,101077.71,106412.59,102936.375,101438.484,101189.016,106442.37,88745.945,82624.55,87170.375,98232.36,90293.59,98677.64,146618.56,171117.69,129138.734,160274.5,139079.08,158769.83,113433.45,134710.4,118391.55,145622.03,129503.75,152755.38
YDR044W,7817.023,7971.6943,8509.318,8211.209,7897.9795,8040.038,7220.658,7289.1416,7129.9634,7879.413,6872.0024,7379.962,11582.415,12960.72,8140.0786,11991.309,12562.764,12956.311,8411.645,12079.266,9265.328,11947.677,11714.076,12611.489
YNL274C,30519.354,31028.543,30623.332,31169.594,26668.332,33231.508,29285.129,31081.375,28888.492,30578.994,31366.264,31605.467,43624.83,47204.453,44477.906,47101.75,41712.414,42772.47,38536.1,40185.23,43389.21,46864.992,42216.527,54821.258
YGR189C,38122.03,42138.785,38622.08,42676.055,38325.215,41147.15,39075.168,44374.938,40711.453,44779.4,37993.094,39633.645,52518.793,64230.49,58313.957,61948.4,59496.094,65988.06,55758.8,60148.51,53924.664,55538.414,59444.62,62041.883
YIL121W,4247.3813,4427.2314,4353.7554,4609.6694,4392.379,4738.49,6367.3105,6563.8623,5346.5566,5290.368,4832.834,5092.636,7801.632,8097.411,7196.5234,8174.128,7591.757,8005.256,7107.907,7895.4785,6667.006,6838.4053,7920.5034,8361.568
YKR042W,5085.3765,5090.104,6039.61,7057.676,4199.4365,4868.2705,6467.0996,7223.629,4549.955,6497.0063,7212.913,7401.5947,7691.622,9355.407,8395.135,8069.392,10414.393,10871.323,7604.1577,8297.125,6713.998,7597.6787,8054.415,8972.721
YER031C,5651.603,8073.1934,8253.418,9291.278,6497.0996,7833.9346,7832.2007,10326.665,8401.526,8809.637,8005.01,10241.142,11214.2,13281.803,9823.479,12365.691,10058.05,14493.623,10142.574,12354.821,8923.872,10354.378,11512.303,15077.208
YER030W,2977.0156,3512.863,4798.433,5108.632,4341.0625,3262.1433,3081.7402,3693.2715,3116.2559,3198.4097,2632.5637,3620.1362,5042.6055,5072.29,3583.642,6290.4233,4950.4907,6058.674,4572.4785,4884.3936,3546.9258,5521.2983,3994.9907,6595.5127
YMR221C,1964.0582,5593.656,5336.61,5587.5635,4792.588,2099.7708,4966.89,2587.9167,5314.3516,5831.923,5144.148,5667.736,6256.7305,7273.458,2442.9275,6987.4683,6198.6978,6940.79,5723.1045,6272.494,5403.553,6426.96,5694.1914,7172.353
YDR086C,32569.775,37733.42,19520.438,24706.3,22145.955,32544.115,16543.836,17942.285,29517.488,31085.836,27209.97,33688.133,36068.16,51702.195,35956.773,47955.12,28706.242,38688.977,32553.148,33159.254,34321.81,38910.508,31146.883,40574.062
YGR161C,4752.1206,5837.0776,2978.412,3216.8318,3307.2754,5797.6133,3015.129,5306.1875,3299.2693,5013.6226,3113.5679,5594.891,5785.9116,8441.4,4115.5537,6317.6753,4583.209,6835.874,5220.4365,6299.3794,4162.7744,6313.4985,4371.562,7484.8145
YBR273C,2583.7615,2794.584,1924.748,2704.9258,2290.589,3047.267,1280.614,2843.1924,1816.8243,3051.1597,2192.6672,2733.6172,3308.8066,5514.7197,3303.6604,5078.7764,3054.2974,4692.439,3007.2852,3574.272,3147.146,3988.6055,3307.789,4808.368
YMR145C,15579.006,22686.025,14410.915,15987.533,13134.341,19276.992,15772.179,16941.13,14798.022,17751.328,16382.3545,18485.764,23033.748,31312.828,23243.703,31583.07,23349.117,32993.633,25110.248,22401.408,22600.377,31285.605,20051.023,31594.367
YGL200C,4909.7803,5540.434,4861.335,5279.428,6818.8047,6066.8584,5290.3096,6653.743,7422.509,8056.2354,7461.948,7429.3394,6814.144,13096.463,6533.3936,12692.812,8307.233,9668.872,8128.127,9000.29,7745.792,9790.913,7865.88,12031.445
YDL168W,6205.7495,5964.937,4123.6553,5810.2275,4152.06,5701.4307,4718.3193,4227.227,4774.7183,5437.9023,4366.646,5726.179,8332.301,8488.43,7266.521,8665.003,5869.2295,8880.078,7050.184,6729.448,7238.5527,7602.871,7155.4385,7712.251
