Name_Category,SK1_D_1_1,SK1_D_1_2,SK1_D_2_1,SK1_D_2_2,SK1_D_3_1,SK1_D_3_2,SK1_H_1_1,SK1_H_1_2,SK1_H_2_1,SK1_H_2_2,SK1_H_3_1,SK1_H_3_2,bPAC_D_1_1,bPAC_D_1_2,bPAC_D_2_1,bPAC_D_2_2,bPAC_D_3_1,bPAC_D_3_2,bPAC_H_1_1,bPAC_H_1_2,bPAC_H_2_1,bPAC_H_2_2,bPAC_H_3_1,bPAC_H_3_2
YKL085W_SK1,327303.1,332541.25,334125.47,341281.94,323359.44,327688.94,330418.5,303465.2,337711.8,324448.56,316296.34,313795.38,514864,431908.34,498420.03,420893.47,505426.53,437838.84,314991.66,279535.5,284853.7,285042.12,316213.66,252130.83
YBR086C_SK1,14271.219,10800.848,17676.504,11770.314,14979.043,11476.195,17735.297,9154.023,15063.322,12053.348,10831.3955,12722.435,18361.115,16240.645,24204.373,17296.86,20955.059,15145.074,11833.613,13573.226,15258.043,13266.95,16017.689,13297.452
YDL188C_SK1,16529.215,12872.486,19282.258,13453.727,18018.803,14057.326,15111.818,11416.418,15209.1,15139.373,12629.082,11272.101,19202.656,17430.828,21212.598,14413.543,20626.348,11036.672,19289.744,14160.916,16907.84,16268.402,16367.67,14094.912
YGL087C_SK1,16189.461,13799.026,16448.605,13008.273,16263.939,14079.634,14361.527,11333.23,13580.923,11789.342,13776.82,12530.115,20060.898,19449.977,19832.908,17107.637,20460.393,14354.52,15048.535,15036.849,20194.535,19037.656,17430.28,14527.598
YLR028C_SK1,42069.1,39434.78,44637.84,39024.914,44235.727,40207.55,39433.176,35072.734,38315.652,40184.414,41442.562,37871.055,48037.42,52266.19,58477.695,47814.07,54392.367,44486.01,51020.523,43637.453,50181.18,47303.926,45951.906,44031.805
YLR089C_SK1,10558.711,9508.844,9501.1875,6703.47,10843.811,7518.82,7889.2236,7184.657,11593.781,7842.495,9458.261,7942.9785,10464.6,9874.998,12230.041,8685.77,11384.584,9214.485,11474.855,9410.515,12705.436,10134.141,10787.202,10186.045
YAL016W_SK1,25995.916,20823.902,25349.824,20305.16,28175.143,18707.668,19743.62,17648.102,26433.37,23117.533,22911.781,24917.041,33181.035,28922.826,31070.389,23205.98,28272.252,26586.08,32303.596,24669.584,28770.125,27381.025,32029.5,26285.38
YNL007C_SK1,72462.2,54584.438,74250.73,57469.297,76365.7,60713.125,68892.94,62845.496,77123.81,62688.89,78273.195,61068.137,91006.41,88005,101561.88,78014.43,101087.72,80577.21,90939.47,83260.4,104717.695,88676.86,99377,87476.336
YOR259C_SK1,13955.116,11912.64,12764.227,12471.891,13066.325,11957.8955,12905.965,11270.626,13645.65,12286.352,11641.426,11192.102,17470.617,17033.152,18018.31,15234.566,18742.268,10365.084,19341.35,14553.279,19930.207,15031.523,18320.14,13148.566
YLL029W_SK1,19397.23,12834.775,20873.14,15967.432,17012.06,10886.22,23199.225,17085.293,17336.936,13241.208,18009.53,16428.879,23906.145,22462.463,29550.664,20439.535,28806.611,19431.338,24082.922,18201.178,30102.957,21881.814,26810.668,21118.4
