Name_Category,ESM356Leu_D_1_1,ESM356Leu_D_1_2,ESM356Leu_D_2_1,ESM356Leu_D_2_2,ESM356Leu_D_3_1,ESM356Leu_D_3_2,ESM356Leu_H_1_1,ESM356Leu_H_1_2,ESM356Leu_H_2_1,ESM356Leu_H_2_2,ESM356Leu_H_3_1,ESM356Leu_H_3_2,Clb2_D_1_1,Clb2_D_1_2,Clb2_D_2_1,Clb2_D_2_2,Clb2_D_3_1,Clb2_D_3_2,Clb2_H_1_1,Clb2_H_1_2,Clb2_H_2_1,Clb2_H_2_2,Clb2_H_3_1,Clb2_H_3_2
YML010W,13719.567,11979.19,14184.931,11640.336,14604.952,12448.986,14011.779,11923.777,14026.598,12175.716,12930.406,10249.074,14174.381,6761.9863,15371.71,6931.065,12594.602,7486.992,13792.517,7417.543,11881.321,6888.301,13858.206,13269.557
YNL079C,144938.44,145121.95,81927.33,144211.03,155197.33,154082.8,149437.11,139844.3,87657.164,136130.56,150450.22,76702.64,166600.8,84195.21,158992.66,85831.664,162900.47,75949.72,167615.3,81914.484,149937.53,80342.33,158173.08,80921.85
YJR009C,81101.47,83698.516,70743.055,74711.17,70388.24,83451.89,64258.527,62031.656,66997.91,62004.1,88055.305,48292.97,92215.77,84585.33,98982.37,64065.64,85364.664,45885.254,46076.906,39893.11,100739.47,57504.332,64367.29,47128.66
YGL027C,5059.3003,3770.6357,1554.9297,3061.487,3549.7263,3137.9976,3315.8018,3273.4294,3445.6782,3902.8699,4518.885,3138.01,4567.1577,3099.6555,4658.8477,3458.0054,6107.0723,3457.2373,3475.9316,3487.0312,4418.5234,3633.8066,7091.5605,4018.6025
YIL061C,6386.6855,4810.2217,5576.0024,4504.648,6234.632,4958.2812,5183.5317,7752.99,5796.113,5331.868,8469.541,4014.7395,6230.9814,4295.1777,5838.994,4133.791,10019.092,4121.3364,4714.4204,4275.317,5797.084,7757.05,5739.9873,4770.48
YMR076C,2471.483,1339.568,1880.4077,2193.643,3374.9414,1595.6395,2325.3647,2430.804,2805.9119,1818.9854,3158.0518,1648.6635,3027.7942,1601.675,2808.1357,1488.4248,3384.175,1275.5845,2613.643,1400.4258,2658.6128,3022.2312,3644.1516,1468.4967
YLR100W,17211.496,13234.788,11928.541,12390.935,18071.865,20374.896,13072.514,12716.212,22241.627,19254.766,12348.169,12873.001,17948.557,14160.078,21963.48,13426.293,25395.477,12699.463,19615.117,12307.509,19909.809,12037.9795,21954.39,14088.384
YBR026C,98586.47,36944.27,45822.645,121822.97,48756.516,56564.496,44386.906,43834.812,111762.71,124726.77,46334.4,51422.477,98962.734,51771.984,103236.734,112380.9,101537.56,37742.164,46220.082,38779.906,32953.527,44851.14,100023.53,121947.55
YMR192W,1844.2543,2407.835,1824.4214,2638.0332,1892.9724,1865.8396,1260.6484,2541.0703,5531.2437,2977.9348,1459.5995,2091.1362,4056.2935,3622.3643,3677.7412,4027.0178,3847.4639,2720.6567,3794.4033,3901.0654,3440.2676,1546.8167,4909.346,2845.5193
YNL149C,6719.3535,3913.8071,4256.048,5458.297,7621.298,6212.037,5309.262,5945.62,9280.836,7550.5273,4743.2456,3723.4148,9340.486,6744.289,8870.629,6823.385,9162.529,3635.6797,9875.075,7298.371,5783.3154,6225.5596,5193.605,7396.833
YKL215C,8721.354,7678.4404,7852.726,8233.442,14655.942,8373.759,13563.665,15210.395,14935.596,14547.209,16896.445,8300.844,17599.494,8234.741,17060.816,14364.733,15427.189,8645.77,16138.005,14973.694,17935.883,12844.365,9413.922,13989.614
YBR236C,6387.0186,4913.129,5823.1836,5358.958,6493.9385,5279.701,4417.536,5873.492,5897.6816,6393.616,6861.3813,5407.597,11797.774,5186.392,5171.7,5629.4043,12528.204,5242.3765,4648.4785,5604.9263,4230.9873,4740.6924,5853.3315,5500.381
